Ticker,"Company Name","Annual Div","Div Yield"
CZNC,"Citizens & Northern","1.08","4.0"
CHCO,"City Holding Company","2.12","2.7"
CEM,"Clearbridge MLP and Midstream Fund","1.18","9.3"
"CWEN.A","Clearway Energy","0.80","5.5"
CLX,"Clorox Co","3.84","2.5"
CMFN,"CM Finance","1.00","13.6"
CMS,"CMS Energy","1.53","2.8"
CCNE,"CNB Financial Corp","0.68","2.6"
CNO,"CNO Financial Group","0.40","2.4"
CNXM,"CNX Midstream Partners LP","1.32","8.9"
KO,"Coca-Cola Co","1.60","3.4"
CCEP,"Coca-Cola European Partners PLC","1.25","2.5"
KOF,"Coca-Cola FEMSA, S.A.B. de C.V. ","1.75","2.6"
CCOI,"Cogent Communications Holdings","2.32","4.2"
CNS,"Cohen & Steers","1.44","3.4"
CL,"Colgate-Palmolive Company","1.72","2.6"
CLNY,"Colony Capital","0.44","8.0"
CLNC,"Colony Credit Real Estate","1.74","10.9"
COLB,"Columbia Banking System","1.12","3.2"
CXP,"Columbia Property Trust","0.80","3.5"
CMA,"Comerica ","2.68","3.5"
CMC,"Commercial Metals Company","0.48","2.7"
CBU,"Community Bank System","1.52","2.5"
CTBI,"Community Trust Bancorp","1.44","3.4"
CODI,"Compass Diversified Holdings","1.44","9.1"
CMP,"Compass Minerals International","2.88","5.1"
CAG,"Conagra Brands","0.85","3.1"
CDOR,"Condor Hospitality Trust","0.78","8.1"
CCR,"CONSOL Coal Resources LP","2.05","11.7"
ED,"Consolidated Edison","2.96","3.5"
CWCO,"Consolidated Water Co.","0.34","2.7"
CPA,"Copa Holdings, S.A.","2.60","3.1"
CXW,Corecivic,"1.76","8.8"
CORR,"Corenergy Infrastructure Trust","3.00","7.9"
CPLG,"CorePoint Lodging","0.80","6.6"
OFC,"Corporate Office Properties Trust","1.10","4.0"
CJREF,"Corus Entertainment ","0.18","3.8"
CMRE,Costamare,"0.40","7.5"
COTY,Coty,"0.50","4.4"
CVA,"Covanta Holding Corp","1.00","5.7"
CBRL,"Cracker Barrel Old Country Store","5.00","3.2"
CEQP,"Crestwood Equity Partners LP","2.40","6.8"
CAPL,"Crossamerica Partners LP","2.10","11.3"
CCI,"Crown Castle International Corp","4.50","3.5"
CRWS,"Crown Crafts","0.32","6.2"
CFR,"Cullen/Frost Bankers","2.68","2.6"
CMI,Cummins,"4.56","2.8"
CVBF,"CVB Financial","0.56","2.6"
CVI,"CVR Energy","3.00","7.0"
CVS,"CVS Health Corp","2.00","3.8"
CY,"Cypress Semiconductor","0.44","2.8"
DAKT,Daktronics,"0.28","3.8"
DRI,"Darden Restaurants","3.00","2.5"
DCP,"DCP Midstream LP","3.12","9.4"
DF,"Dean Foods Co","0.12","4.7"
DKL,"Delek Logistics Partners LP","3.24","10.1"
DAL,"Delta Air Lines","1.40","2.5"
DLX,"Deluxe Corporation","1.20","2.7"
DBI,"Designer Brands","1.00","4.5"
DHT,"DHT Holdings","0.20","4.4"
DCOM,"Dime Community Bancshares","0.56","2.9"
D,"Dominion Energy","3.67","4.8"
UFS,"Domtar Corp ","1.74","3.5"
DGICA,"Donegal Group","0.57","4.4"
PLOW,"Douglas Dynamics","1.09","2.9"
DEI,"Douglas Emmett","1.04","2.5"
DWDP,DowDuPont,"1.52","4.0"
DTE,"DTE Energy Co","3.78","3.1"
DUK,"Duke Energy Corp","3.71","4.2"
DRE,"Duke Realty Corp","0.86","2.8"
DX,"Dynex Capital","0.72","11.9"
EGP,"Eastgroup Properties","2.88","2.6"
EMN,"Eastman Chemical Company","2.48","3.0"
ETN,"Eaton PLC","2.84","3.4"
EV,"Eaton Vance Corp","1.40","3.3"
EIX,"Edison International","2.45","3.9"
EE,"El Paso Electric Company","1.44","2.5"
EFC,"Ellington Financial","1.68","9.3"
EARN,"Ellington Residential Mortgage REIT","1.36","11.6"
EMCI,"EMC Insurance Group","0.92","2.9"
EMR,"Emerson Electric Co.","1.96","2.8"
ESRT,"Empire State Realty Trust","0.42","2.7"
ENB,"Enbridge ","2.22","6.0"
ENR,"Energizer Holdings","1.20","2.5"
ET,"Energy Transfer LP","1.22","7.9"
ENLC,"EnLink Midstream LLC","1.06","8.4"
EBF,Ennis,"0.90","4.3"
ETM,"Entercom Communications","0.36","6.2"
ETR,Entergy,"3.64","3.9"
EPD,"Enterprise Products Partners","1.74","5.9"
EVC,"Entravision Communication","0.20","6.1"
EVA,"Enviva Partners LP","2.56","7.9"
EPR,"EPR Properties","4.50","5.8"
EQM,"EQM Midstream Partners LP","4.52","9.7"
ETRN,"Equitrans Midstream Corp","1.64","7.7"
EQR,"Equity Residential","2.27","3.0"
ESCA,Escalade,"0.50","4.1"
ESSA,"ESSA Bancorp","0.40","2.6"
EPRT,"Essential Properties Realty Trust","0.84","4.4"
ESS,"Essex Property Trust","7.80","2.7"
ETH,"Ethan Allen Interiors","0.76","3.9"
EVBN,"Evans Bancorp","1.04","2.9"
RE,"Everest Re Group Ltd","5.60","2.6"
EVRG,Evergy,"1.90","3.4"
ES,"Eversource Energy","2.14","3.0"
EPM,"Evolution Petroleum Corp","0.40","6.0"
XAN,"Exantas Capital Corp","0.80","7.4"
EXC,Exelon,"1.45","2.9"
STAY,"Extended Stay America","0.88","4.8"
XOM,"Exxon Mobil","3.28","4.0"
FNB,"F.N.B. Corp","0.48","4.3"
FANH,"Fanhua ","0.95","3.7"
FMNB,"Farmers National Banc Corp","0.36","2.6"
FPI,"Farmland Partners","0.20","3.1"
FAST,"Fastenal Company","1.72","2.6"
FFG,"FBL Financial Group","1.92","3.0"
AGM,"Federal Agricultural Mortgage","2.80","3.7"
FRT,"Federal Realty Investment Trust","4.08","3.0"
FII,"Federated Investors","1.08","3.5"
FNF,"Fidelity National Financial","1.24","3.3"
FDUS,"Fidus Investment ","1.56","10.1"
FITB,"Fifth Third Bancorp","0.88","3.3"
FISI,"Financial Institutions","1.00","3.6"
FAF,"First American Financial Corp","1.68","3.1"
BUSE,"First Busey","0.84","3.4"
FBIZ,"First Business Financial Services","0.60","2.9"
FCBP,"First Choice Bancorp","0.80","3.8"
FCF,"First Commonwealth Financial","0.40","3.0"
FCBC,"First Community Bankshares","0.84","2.5"
FDEF,"First Defiance Financial","0.76","2.6"
FFBC,"First Financial Bancorp","0.80","3.2"
FHB,"First Hawaiian","1.04","3.9"
FHN,"First Horizon National Corp","0.56","3.8"
FR,"First Industrial Realty Trust","0.92","2.6"
FIBK,"First Interstate Bancsystem","1.24","3.1"
FLIC,"First of Long Island Corp","0.68","3.1"
FE,FirstEnergy,"1.52","3.9"
FLO,"Flowers Foods","0.72","3.4"
FFIC,"Flushing Financial","0.84","3.7"
F,"Ford Motor Company","0.60","6.5"
