Ticker,"Company Name","Annual Div","Div Yield"
RLJ,"RLJ Lodging Trust","1.32","7.2"
RCI,"Rogers Communications ","1.49","2.8"
RY,"Royal Bank of Canada","3.11","4.0"
RCL,"Royal Caribbean Cruises Ltd","2.80","2.4"
RES,RPC,"0.40","3.3"
RRD,"RR Donnelley & Sons Co","0.12","2.5"
R,"Ryder System","2.16","3.3"
RHP,"Ryman Hospitality Properties","3.60","4.3"
STBA,"S & T Bancorp","1.08","2.7"
SBRA,"Sabra Health Care REIT","1.80","9.4"
SABR,"Sabre Corp","0.56","2.6"
SAFE,Safehold,"0.60","2.7"
SAFT,"Safety Insurance Group","3.20","3.5"
SALM,"Salem Media Group","0.26","10.7"
SASR,"Sandy Spring Bancorp","1.12","3.5"
SC,"Santander Consumer USA Holdings","0.80","3.6"
SLB,"Schlumberger Limited.","2.00","4.5"
SCHN,"Schnitzer Steel Industries","0.75","2.9"
SWM,"Schweitzer-Mauduit International","1.76","4.6"
SMG,"Scotts Miracle-Gro Co","2.20","2.7"
STX,"Seagate Technology PLC","2.52","5.1"
SSW,Seaspan,"0.50","5.5"
SRE,"Sempra Energy","3.87","3.1"
SNH,"Senior Housing Properties Trust","1.56","15.7"
SJR,"Shaw Communications ","0.89","4.3"
SHLX,"Shell Midstream Partners LP","1.60","7.8"
SFL,"Ship Finance International Limited","1.40","11.0"
SHBI,"Shore Bancshares","0.40","2.6"
BSRR,"Sierra Bancorp","0.72","2.9"
SIMO,"Silicon Motion Technology ","1.20","2.9"
SFNC,"Simmons First National","0.64","2.5"
SPG,"Simon Property Group","8.20","4.5"
SITC,"Site Centers Corp","0.80","5.8"
SIX,"Six Flags Entertainment Corp","3.28","6.6"
SQM,"Sociedad Quimica y Minera de Chile ","1.63","4.2"
SLRC,"Solar Capital","1.64","7.7"
SUNS,"Solar Senior Capital Ltd","1.41","8.1"
SAH,"Sonic Automotive","0.40","2.6"
SON,"Sonoco Products Co","1.64","2.6"
SJI,"South Jersey Industries","1.15","3.6"
SO,"Southern Co","2.40","4.7"
SBSI,"Southside Bancshares","1.20","3.5"
SWX,"Southwest Gas Holdings","2.18","2.7"
SPTN,"SpartanNash Co","0.76","4.6"
TRK,"Speedway Motorsports","0.60","4.1"
SR,Spire,"2.37","2.9"
SRC,"Spirit Realty Capital","2.50","6.2"
SRLP,"Sprague Resources  ","2.67","14.6"
STAG,"Stag Industrial","1.43","4.8"
STWD,"Starwood Property Trust","1.92","8.5"
STT,"State Street Corp","1.88","2.7"
STLD,"Steel Dynamics","0.96","2.7"
STC,"Stewart Information Services Corp","1.20","2.8"
SYBT,"Stock Yards Bancorp","1.00","2.9"
BANX,"StoneCastle Financial Corp","1.52","7.1"
STOR,"Store Capital Corp","1.32","4.0"
SPH,"Suburban Propane Partners LP","2.40","10.5"
SMLP,"Summit Midstream Partners  ","2.30","24.2"
SUI,"Sun Communities","3.00","2.5"
SLF,"Sun Life Financial","1.51","3.8"
SU,"Suncor Energy ","1.08","3.3"
SUN,"Sunoco LP","3.30","10.6"
STI,"SunTrust Banks","2.00","3.2"
SUP,"Superior Industries International","0.36","6.1"
SYF,"Synchrony Financial","0.84","2.6"
SNV,"Synovus Financial","1.20","3.4"
TROW,"T. Rowe Price Group","3.04","3.0"
TPR,Tapestry,"1.35","3.9"
TRGP,"Targa Resources ","3.64","9.0"
TGT,Target,"2.56","3.2"
TCP,"TC Pipelines, LP","2.60","7.2"
TCF,"TCF Financial","0.60","2.7"
CGBD,"TCG BDC","1.48","10.0"
TGP,"Teekay LNG Partners","0.56","3.8"
TEN,Tenneco,"1.00","4.2"
TERP,"TerraForm Power","0.76","5.3"
TBNK,"Territorial Bancorp","0.88","3.2"
TESS,"TESSCO Technologies","0.80","4.8"
TXN,"Texas Instruments ","3.08","2.7"
TFSL,"TFS Financial","1.00","6.1"
TRI,"Thomson Reuters Corp","1.44","2.5"
THO,"Thor Industries","1.56","2.5"
TIER,"TIER REIT","0.72","2.5"
TTS,"Tile Shop Holdings","0.20","3.4"
TIVO,"TiVo Corp","0.72","7.8"
TMP,"Tompkins Financial","2.00","2.6"
TD,"Toronto-Dominion Bank","2.25","4.0"
TOWN,TowneBank,"0.64","2.5"
TSQ,"Townsquare Media","0.30","5.0"
TRTX,"TPG RE Finance Trust","1.72","8.7"
TSLX,"TPG Specialty Lending","1.56","7.7"
TRP,"TransCanada ","2.02","4.4"
TRMT,"Tremont Mortgage Trust","0.44","4.8"
TSE,"Trinseo S.A.","1.60","3.4"
TPVG,"Triplepoint Venture Growth BDC ","1.44","10.5"
TRTN,"Triton International Ltd","2.08","6.5"
TRST,"TrustCo Bank Corp NY","0.27","3.5"
TRMK,"Trustmark Corp","0.92","2.6"
TNP,"Tsakos Energy Navigation","0.20","6.2"
TUP,"Tupperware Brands","1.08","4.1"
USB,"U.S. Bancorp","1.48","3.0"
UDR,UDR,"1.37","3.0"
UMH,"UMH Properties ","0.72","5.2"
UMPQ,"Umpqua Holdings Corp","0.84","4.8"
UBSH,"Union Bankshares Corp","0.92","2.7"
UFAB,"Unique Fabricating","0.20","4.7"
UBSI,"United Bankshares","1.36","3.6"
UCBI,"United Community Banks","0.64","2.4"
UCFC,"United Community Financial Corp","0.28","3.0"
UBNK,"United Financial Bancorp","0.48","3.3"
UFCS,"United Fire Group","1.24","2.8"
UPS,"United Parcel Service","3.84","3.4"
UTL,Unitil,"1.48","2.7"
UVSP,"Univest Financial Corp","0.80","3.2"
UNM,"Unum Group","1.04","3.0"
UE,"Urban Edge Properties","0.88","4.6"
UBA,"Urstadt Biddle Properties","1.10","5.3"
USAC,"Usa Compression Partners  ","2.10","13.5"
USDP,"USD Partners  ","1.44","13.3"
VLO,"Valero Energy","3.60","4.3"
VLY,"Valley National Bancorp","0.44","4.4"
VGR,"Vector Group ","1.60","14.8"
VTR,Ventas,"3.17","5.1"
VER,Vereit,"0.55","6.6"
VZ,"Verizon Communications","2.41","4.1"
VIAB,Viacom,"0.80","2.7"
VNOM,"Viper Energy Partners LP","2.04","6.2"
VNO,"Vornado Realty Trust","2.64","3.8"
WBA,"Walgreens Boots Alliance","1.76","3.3"
WAFD,"Washington Federal","0.80","2.7"
WRE,"Washington Real Estate Investment Trust","1.20","4.2"
WASH,"Washington Trust Bancorp","1.88","3.9"
WSBF,"Waterstone Financial","0.48","3.0"
WSO,Watsco,"6.40","4.3"
WBS,"Webster Financial","1.32","2.5"
WEC,"WEC Energy Group","2.36","3.1"
WRI,"Weingarten Realty Investors","1.58","5.3"
WFC,"Wells Fargo & Co","1.80","3.7"
WELL,Welltower,"3.48","4.6"
WSBC,WesBanco,"1.24","3.0"
WTBA,"West Bancorporation","0.80","3.8"
WABC,"Westamerica Bancorporation","1.60","2.5"
WMC,"Western Asset Mortgage Capital ","1.24","12.1"
WDC,"Western Digital Corp","2.00","3.9"
WLKP,"Westlake Chemical Partners LP","1.73","7.6"
WRK,"Westrock Co","1.82","4.7"
WY,"Weyerhaeuser Co","1.36","5.1"
WHR,Whirlpool,"4.60","3.4"
WHF,"WhiteHorse Finance","1.42","10.2"
WSR,"Whitestone REIT","1.14","9.6"
WMB,"Williams Companies","1.52","5.3"
WPC,"WP Carey","4.13","5.3"
WYND,"Wyndham Destinations","1.89","4.6"
XEL,"Xcel Energy","1.62","2.9"
XHR,"Xenia Hotels & Resorts","1.10","5.1"
XRX,"Xerox Corp","1.00","3.0"
ZION,"Zions Bancorporation NA","1.20","2.5"
